name,state,city,tier,status,short_description,description,website,phone,email,address,founded_year,team_size,services
"Dental Support Specialties",California,"Canton",FREE,ACTIVE,"Billing and front-office support","Outsourced dental billing, insurance verification, scheduling and answering services.",https://www.dentalsupportspecialties.com,"(330) 639-1333",,"4486 Dressler Rd NW, Canton, OH 44718",2008,,dental-billing|insurance-verification|scheduling|patient-billing
"Wisdom Dental Billing",California,,FREE,ACTIVE,"Tech-enabled dental billing","Outsourced dental billing and revenue cycle management pairing specialists with technology.",https://www.withwisdom.com,,,,,,dental-billing|ar-management|insurance-verification
"Texas Medical & Dental Billing Services",Texas,,FREE,ACTIVE,"Statewide Texas billing","Complete medical and dental billing for practices from Houston and Dallas to Austin and San Antonio.",https://texasmedbilling.com,,,,,,medical-billing|dental-billing|ar-management
"Capline Dental Services",Texas,"Houston",FREE,ACTIVE,"Billing, verification and credentialing","Dental billing, collections, insurance verification and credentialing, headquartered in Houston.",https://www.caplinedentalservices.com,"(888) 666-0604",,"3838 N Sam Houston Pkwy E Ste 430, Houston, TX 77032",2016,,dental-billing|insurance-verification|credentialing|patient-billing
"eAssist Dental Solutions",Texas,"American Fork",FREE,ACTIVE,"Nation's largest dental billing network","Distributed dental billing network handling claims, posting, AR and verification for practices nationwide.",https://dentalbilling.com,"(844) 327-7478",,"665 W 750 N, American Fork, UT 84003",2011,,claims-submission|payment-posting|insurance-verification|ar-management
"DCS (Dental Claim Support)",Texas,"Savannah",FREE,ACTIVE,"Dental RCM and billing","Full-service dental revenue cycle management with US-based billers serving practices and DSOs.",https://www.dentalclaimsupport.com,"(912) 355-6100",,"37 W Fairmont Ave Bldg 100B, Savannah, GA 31406",2012,201-500,claims-submission|payment-posting|insurance-verification|ar-management|credentialing
"EZ Dental Billing",Texas,"Naples",FREE,ACTIVE,"Remote dental billing","Remote dental billing, posting and insurance verification; an Inc. 5000 honoree.",https://www.ezdentalbilling.com,"(239) 963-2066",,"3606 Enterprise Ave Ste 200, Naples, FL 34104",2010,,claims-submission|payment-posting|insurance-verification
"Medusind",Texas,"Miami",FREE,ACTIVE,"End-to-end dental RCM","Two-decade RCM provider offering dental billing, coding, AR and credentialing at scale.",https://www.medusind.com,,,"6100 Blue Lagoon Dr Suite 450, Miami, FL 33126",2002,1000+,dental-billing|coding|ar-management|credentialing
"Outsource Strategies International",Texas,"Tulsa",FREE,ACTIVE,"Medical and dental RCM","RCM provider offering dental billing, verification, coding and AR management since 2002.",https://www.outsourcestrategies.com,,,"8596 E 101st St, Tulsa, OK",2002,,dental-billing|insurance-verification|coding|ar-management
"Dental Claims Cleanup",Texas,"Syracuse",FREE,ACTIVE,"Dental and medical billing","Dentist-founded billing service covering dental/medical billing, benefits verification and patient billing.",https://dentalclaimscleanup.com,"(800) 652-3431",,"1810 Erie Blvd, Syracuse, NY",2015,,dental-billing|insurance-verification|patient-billing
"Dental Support Specialties",Texas,"Canton",FREE,ACTIVE,"Billing and front-office support","Outsourced dental billing, insurance verification, scheduling and answering services.",https://www.dentalsupportspecialties.com,"(330) 639-1333",,"4486 Dressler Rd NW, Canton, OH 44718",2008,,dental-billing|insurance-verification|scheduling|patient-billing
"Dental Revenue Group",Texas,"Downers Grove",FREE,ACTIVE,"Dental billing company","Outsourced dental billing and insurance verification serving practices nationwide.",https://mydentalrevenue.com,"(630) 339-2714",,"3250 Lacey Rd #120, Downers Grove, IL 60515",2000,,dental-billing|insurance-verification
"Virtual Dental Billing",Texas,"Fargo",FREE,ACTIVE,"Remote dental billing","Remote dental billing and insurance verification adapting to each practice's workflow.",https://virtualdentalbilling.com,,,"2315 N University Dr Suite 11, Fargo, ND 58102",,,dental-billing|insurance-verification
"Medusind",Florida,"Miami",FREE,ACTIVE,"Florida-based dental RCM","Florida-headquartered RCM provider offering dental billing, coding, AR and credentialing at scale.",https://www.medusind.com,,,"6100 Blue Lagoon Dr Suite 450, Miami, FL 33126",2002,1000+,dental-billing|coding|ar-management|credentialing
"EZ Dental Billing",Florida,"Naples",FREE,ACTIVE,"Naples-based dental billing","Remote dental billing, posting and insurance verification headquartered in Naples; Inc. 5000 honoree.",https://www.ezdentalbilling.com,"(239) 963-2066",,"3606 Enterprise Ave Ste 200, Naples, FL 34104",2010,,claims-submission|payment-posting|insurance-verification
"Florida MD Billing",Florida,,FREE,ACTIVE,"Statewide Florida billing","Medical and dental RCM for practices from Miami and Orlando to Tampa and Jacksonville.",https://floridamdbilling.com,,,,,,medical-billing|dental-billing|ar-management
"eAssist Dental Solutions",Florida,"American Fork",FREE,ACTIVE,"Nation's largest dental billing network","Distributed dental billing network handling claims, posting, AR and verification for practices nationwide.",https://dentalbilling.com,"(844) 327-7478",,"665 W 750 N, American Fork, UT 84003",2011,,claims-submission|payment-posting|insurance-verification|ar-management
"DCS (Dental Claim Support)",Florida,"Savannah",FREE,ACTIVE,"Dental RCM and billing","Full-service dental revenue cycle management with US-based billers serving practices and DSOs.",https://www.dentalclaimsupport.com,"(912) 355-6100",,"37 W Fairmont Ave Bldg 100B, Savannah, GA 31406",2012,201-500,claims-submission|payment-posting|insurance-verification|ar-management|credentialing
"Capline Dental Services",Florida,"Houston",FREE,ACTIVE,"Billing, verification and credentialing","Dental billing, collections, insurance verification and credentialing for practices nationwide.",https://www.caplinedentalservices.com,"(888) 666-0604",,"3838 N Sam Houston Pkwy E Ste 430, Houston, TX 77032",2016,,dental-billing|insurance-verification|credentialing|patient-billing
"Outsource Strategies International",Florida,"Tulsa",FREE,ACTIVE,"Medical and dental RCM","RCM provider offering dental billing, verification, coding and AR management since 2002.",https://www.outsourcestrategies.com,,,"8596 E 101st St, Tulsa, OK",2002,,dental-billing|insurance-verification|coding|ar-management
"Dental Claims Cleanup",Florida,"Syracuse",FREE,ACTIVE,"Dental and medical billing","Dentist-founded billing service covering dental/medical billing, benefits verification and patient billing.",https://dentalclaimscleanup.com,"(800) 652-3431",,"1810 Erie Blvd, Syracuse, NY",2015,,dental-billing|insurance-verification|patient-billing
"Dental Support Specialties",Florida,"Canton",FREE,ACTIVE,"Billing and front-office support","Outsourced dental billing, insurance verification, scheduling and answering services.",https://www.dentalsupportspecialties.com,"(330) 639-1333",,"4486 Dressler Rd NW, Canton, OH 44718",2008,,dental-billing|insurance-verification|scheduling|patient-billing
"Wisdom Dental Billing",Florida,,FREE,ACTIVE,"Tech-enabled dental billing","Outsourced dental billing and revenue cycle management pairing specialists with technology.",https://www.withwisdom.com,,,,,,dental-billing|ar-management|insurance-verification
"Virtual Dental Billing",Florida,"Fargo",FREE,ACTIVE,"Remote dental billing","Remote dental billing and insurance verification adapting to each practice's workflow.",https://virtualdentalbilling.com,,,"2315 N University Dr Suite 11, Fargo, ND 58102",,,dental-billing|insurance-verification
"Denefits",Florida,"Irvine",FREE,ACTIVE,"Patient financing and billing","Patient payment plans, financing and billing technology for dental and healthcare practices.",https://denefits.com,,,"Irvine, CA",2016,,patient-billing|payment-plans
"Dental Claims Cleanup",New York,"Syracuse",FREE,ACTIVE,"Syracuse-based dental billing","Dentist-founded Syracuse billing service: dental/medical billing, benefits verification and patient billing.",https://dentalclaimscleanup.com,"(800) 652-3431",,"1810 Erie Blvd, Syracuse, NY",2015,,dental-billing|insurance-verification|patient-billing
"Underbite",New York,"New York",FREE,ACTIVE,"NYC dental practice management","NYC-based dental management group supporting billing, HR, acquisitions and operations for dentists.",https://www.myunderbite.com,,,"New York, NY",2011,,practice-management|dental-billing|insurance-verification
"Dental Billing Solutions Inc",New York,"Staten Island",FREE,ACTIVE,"Staten Island dental billing","Dental billing, claims management and outsourcing services based in Staten Island.",https://dentalbillingsolutionsinc.com,,,"Staten Island, NY",,,dental-billing|claims-submission|ar-management
"Instapay Healthcare Services",New York,,FREE,ACTIVE,"NY dental billing service","Dental billing and verification for clinics across NYC, Buffalo, Albany and Long Island.",https://instapayhealthcareservices.com,,,,,,dental-billing|insurance-verification|ar-management
"Dental Practice Solutions",New York,"New York",FREE,ACTIVE,"NYC/NJ dental billing","Specialized dental insurance billing and AR management for NYC and New Jersey practices.",https://dntlpracticesolutions.com,,,"New York, NY",,,dental-billing|ar-management|insurance-verification
"eAssist Dental Solutions",New York,"American Fork",FREE,ACTIVE,"Nation's largest dental billing network","Distributed dental billing network handling claims, posting, AR and verification for practices nationwide.",https://dentalbilling.com,"(844) 327-7478",,"665 W 750 N, American Fork, UT 84003",2011,,claims-submission|payment-posting|insurance-verification|ar-management
"DCS (Dental Claim Support)",New York,"Savannah",FREE,ACTIVE,"Dental RCM and billing","Full-service dental revenue cycle management with US-based billers serving practices and DSOs.",https://www.dentalclaimsupport.com,"(912) 355-6100",,"37 W Fairmont Ave Bldg 100B, Savannah, GA 31406",2012,201-500,claims-submission|payment-posting|insurance-verification|ar-management|credentialing
"Capline Dental Services",New York,"Houston",FREE,ACTIVE,"Billing, verification and credentialing","Dental billing, collections, insurance verification and credentialing for practices nationwide.",https://www.caplinedentalservices.com,"(888) 666-0604",,"3838 N Sam Houston Pkwy E Ste 430, Houston, TX 77032",2016,,dental-billing|insurance-verification|credentialing|patient-billing
"EZ Dental Billing",New York,"Naples",FREE,ACTIVE,"Remote dental billing","Remote dental billing, posting and insurance verification; an Inc. 5000 honoree.",https://www.ezdentalbilling.com,"(239) 963-2066",,"3606 Enterprise Ave Ste 200, Naples, FL 34104",2010,,claims-submission|payment-posting|insurance-verification
"Medusind",New York,"Miami",FREE,ACTIVE,"End-to-end dental RCM","Two-decade RCM provider offering dental billing, coding, AR and credentialing at scale.",https://www.medusind.com,,,"6100 Blue Lagoon Dr Suite 450, Miami, FL 33126",2002,1000+,dental-billing|coding|ar-management|credentialing
"Outsource Strategies International",New York,"Tulsa",FREE,ACTIVE,"Medical and dental RCM","RCM provider offering dental billing, verification, coding and AR management since 2002.",https://www.outsourcestrategies.com,,,"8596 E 101st St, Tulsa, OK",2002,,dental-billing|insurance-verification|coding|ar-management
"Dental Support Specialties",New York,"Canton",FREE,ACTIVE,"Billing and front-office support","Outsourced dental billing, insurance verification, scheduling and answering services.",https://www.dentalsupportspecialties.com,"(330) 639-1333",,"4486 Dressler Rd NW, Canton, OH 44718",2008,,dental-billing|insurance-verification|scheduling|patient-billing
"Transcure",New York,"Woodbridge",FREE,ACTIVE,"Medical and dental billing","Outsourced medical and dental billing and AR management serving New York practices.",https://transcure.net,,,"Woodbridge, NJ",2002,,dental-billing|medical-billing|ar-management
"Smart Dental Billing",Illinois,"Chicago",FREE,ACTIVE,"Chicago dental billing","Chicago-based dental billing focused on maximizing collections for Illinois practices.",https://smartdentalbilling.com,,,"Chicago, IL",2020,,dental-billing|insurance-verification|ar-management
"MedSwift Corp",Illinois,"Chicago",FREE,ACTIVE,"Chicago RCM and dental billing","Chicago RCM firm offering dental billing, credentialing, provider enrollment and practice management.",https://medswiftcorp.com,,,"Chicago, IL",,,dental-billing|credentialing|practice-management
"Illinois Medical & Dental Billing Services",Illinois,,FREE,ACTIVE,"Statewide Illinois billing","Complete medical and dental billing for practices from Chicago and Springfield to Naperville and Peoria.",https://illinoismdbilling.com,,,,,,medical-billing|dental-billing|ar-management
"iCareBilling",Illinois,"Naperville",FREE,ACTIVE,"Naperville RCM provider","Naperville-based RCM firm offering credentialing, practice management and revenue cycle management.",https://icarebilling.com,,,"Naperville, IL",,,credentialing|practice-management|ar-management
"Dental Revenue Group",Illinois,"Downers Grove",FREE,ACTIVE,"Downers Grove dental billing","Illinois-based dental billing and insurance verification serving practices nationwide.",https://mydentalrevenue.com,"(630) 339-2714",,"3250 Lacey Rd #120, Downers Grove, IL 60515",2000,,dental-billing|insurance-verification
"eAssist Dental Solutions",Illinois,"American Fork",FREE,ACTIVE,"Nation's largest dental billing network","Distributed dental billing network handling claims, posting, AR and verification for practices nationwide.",https://dentalbilling.com,"(844) 327-7478",,"665 W 750 N, American Fork, UT 84003",2011,,claims-submission|payment-posting|insurance-verification|ar-management
"DCS (Dental Claim Support)",Illinois,"Savannah",FREE,ACTIVE,"Dental RCM and billing","Full-service dental revenue cycle management with US-based billers serving practices and DSOs.",https://www.dentalclaimsupport.com,"(912) 355-6100",,"37 W Fairmont Ave Bldg 100B, Savannah, GA 31406",2012,201-500,claims-submission|payment-posting|insurance-verification|ar-management|credentialing
"Capline Dental Services",Illinois,"Houston",FREE,ACTIVE,"Billing, verification and credentialing","Dental billing, collections, insurance verification and credentialing for practices nationwide.",https://www.caplinedentalservices.com,"(888) 666-0604",,"3838 N Sam Houston Pkwy E Ste 430, Houston, TX 77032",2016,,dental-billing|insurance-verification|credentialing|patient-billing
"EZ Dental Billing",Illinois,"Naples",FREE,ACTIVE,"Remote dental billing","Remote dental billing, posting and insurance verification; an Inc. 5000 honoree.",https://www.ezdentalbilling.com,"(239) 963-2066",,"3606 Enterprise Ave Ste 200, Naples, FL 34104",2010,,claims-submission|payment-posting|insurance-verification
"Medusind",Illinois,"Miami",FREE,ACTIVE,"End-to-end dental RCM","Two-decade RCM provider offering dental billing, coding, AR and credentialing at scale.",https://www.medusind.com,,,"6100 Blue Lagoon Dr Suite 450, Miami, FL 33126",2002,1000+,dental-billing|coding|ar-management|credentialing
"Outsource Strategies International",Illinois,"Tulsa",FREE,ACTIVE,"Medical and dental RCM","RCM provider offering dental billing, verification, coding and AR management since 2002.",https://www.outsourcestrategies.com,,,"8596 E 101st St, Tulsa, OK",2002,,dental-billing|insurance-verification|coding|ar-management
"Dental Support Specialties",Illinois,"Canton",FREE,ACTIVE,"Billing and front-office support","Outsourced dental billing, insurance verification, scheduling and answering services.",https://www.dentalsupportspecialties.com,"(330) 639-1333",,"4486 Dressler Rd NW, Canton, OH 44718",2008,,dental-billing|insurance-verification|scheduling|patient-billing
"Wisdom Dental Billing",Illinois,,FREE,ACTIVE,"Tech-enabled dental billing","Outsourced dental billing and revenue cycle management pairing specialists with technology.",https://www.withwisdom.com,,,,,,dental-billing|ar-management|insurance-verification
